id,name,industry,source,lead_status,notes,ma_status,international,locations,company_type,description,product_line,state,city,revenue,website,employees,franchise,top_franchise,demography,ticket,activities,membership,geo_focus,indoor_outdoor,col_25
62,Dig PDX,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,indoor sandbox - interesting?,,,1,Private Company,"Dig PDX is Oregon's largest indoor sandbox, offering a 4,000 sq ft playground for children ages 0-12","toddler playground, Climbers , slides",Oregon,Beaverton,0,https://www.digpdx.com/,0,1,0,0 to 12 years,$17 per child,"Trampoline park , slides , soft toys",,Oregons,Indoor,
63,Fairytale Island,1. Indoor Kid/Toddler Play Zone,Caitlin 6/13/24,,4000 SF,,,1,Private Company,,,,,,,,,,,,,,,,
64,Fawn & club play space,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Fawn & Cub Play Space is a woodland themed playroom located in Cranston, Rhode Island. Our mission is to have a space with creative dramatic play areas for children six months to five years old explore their imaginative play skills. Our soft colors and comfortable seating throughout make it a desirable space for both littles and adults!",,Rhode Island,Cranston,<$5 million,https://www.fawnandcubplayspace.com/,0,1,0,6 months - 5 years old,$40 - $55 PP,"Open play , party area",,Rhode Island,Indoor,
65,Fresh Cup Playhouse,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Play café which has indoor playground with a variety of engaging toys that promote physical, constructive, creative, and imaginative play for kids, a baby zone and café for parents",,Alaska,Anchorage,-,https://freshcupak.com/,-,1,-,6 months to 6 years,$5 / hour,"Slides, Ball Pool, Sensory Toys & Equipment",,Alaska,Indoor,
66,Fun Fair Indoor Playground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,Indoor playground with arcades and ball pools for kids,,Alabama,Florence,<$5,-,-,1,-,-,-,"Ball Pool, Arcades",,Alabama,Indoor,
67,Fun run,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,2,Private Company,"Located in Liberty and Blue Springs, this park offers inflatables, small town exploration areas, and arcade games.","Fun run café , party , indoor games",Kansas,"Liberty , Blue springs",0,https://www.funrunkansascity.com/indoor-park,0,2,0,1- 12 years,$6.99 - $14.99,"Fun run café , party , indoor games",,Kansas,Indoor,
68,Fun Time Junction,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,1,Private Company,"Funtime Junction is a private indoor amusement center located in Fairfield, New Jersey. It offers a variety of activities for children, including arcade games, laser tag, a multi-level climbing structure, and a toddler area. The facility is designed to provide a fun and safe environment for kids to play and celebrate special occasions. They also offer birthday party packages and group events",,New Jersey,Fairfield,<5.0,https://www.funtimejunction.com/,-,No,NA,Upto 12 years,19.95,"Multi-Level Softplay Climbscape, Jump Pillow, FunTime Freddy's FunHouse,  Toddler Playground, Climbers & Imaginative Play Areas, BEAM Floor Projection Game, LiteZilla & Wall, manipulative Toys, Black Light Scavenger Hunt",,Fairfield,Indoor,
69,FunVille Playground and Cafe,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,2,Private Company,"FunVille Playground is a private indoor recreation center with locations in Virginia Beach and Chesapeake, Virginia. It offers a variety of activities for children of all ages, including climbing structures, obstacle courses, soft air guns, and a ropes course. The facility also features a dedicated toddler area, a virtual reality gaming arena, and an arcade.",,Virginia,Virginia Beach,-,https://funvilleplayground.com/,11-50,-,-,Kids and Children,25,"Open Play, Toddler area, Virtual reality, Special Events, Sports Inflatables, Birthday Parties, Café",,,Indoor,
70,FunWorld,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"FunWorld offers year-round indoor fun for all ages with over 225 games, including video games, ticket redemption games, and kiddie rides. The facility also features indoor playgrounds and amusement rides, providing a variety of entertainment options for the whole family.","ndoor playgrounds, amusement rides, arcade games",New Hampshire,Nashua,-,https://www.funworldnh.com/,-,1,-,-,$16 per person,"ndoor playgrounds, amusement rides, arcade games",,New Hampshire,-,
71,G3 Kid's Zone,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"3 Kid's Zone is the perfect entertainment option for kids who want to learn, play and party in the St. Louis area. We are a family-owned, family-run play facility for kids of all ages. We take pride in our exciting attractions, clean facilities and effective health & safety protocols, so we guarantee that your kids will have a blast each time they walk through our doors! In addition to our daily open play hours, we also have a private party space to host your special events -- whether it's a birthday party, graduation celebration or just a fun family gathering. So come join the Kid's Zone family and let your kids be KIDS!","Inflatables, climbing structures, arcade games.",Missouri,Hazelwood,-,https://www.g3kidszone.com/,-,1,-,-,"$16 per day for open day, which goes upto $ 90 per month for unlimited play","Inflatables, climbing structures, arcade games.",,Missouri,-,
72,Gatti Town,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"GattiTown features arcade games, rides, and attractions for children","arcade game , rides , bumper cars , VR rides",Kentucky,Lexington,<$5 million,https://gattitownlexington.com/?utm_source=google&utm_medium=Yext&y_source=1_MTc0MTk4NDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,<25,1,0,3-11 + years,$18.99 - $35.99,"arcade game , rides , bumper cars , VR rides",,Kentucky,Indoor,
73,GG Play's land,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"GG's Playland is an indoor playground located in Green River, Wyoming. It's designed to provide a fun and safe environment for children ages 0-12","Toddler area , Birthday party room , Private party options",Wyoming,Green River,0,https://www.ggplayland.com/,0,1,0,0-10 years,$8 - $175,"Toddler area , Birthday party room , Private party options",yes,Wyoming,Indoor,
74,Giggles,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,2,Private Company,"Operates in the Amusement Parks, Arcades & Attractions industry",,Arizona,Chandler,<$5,https://www.giggleskidz.com/,<10,2,-,9 months to 6 years old,"$12 / kid
Membership - $54 - $44","Slides, Rock Climbing, Play Area",Yes,Arizona,Indoor,
75,Giggles N' Hugs,1. Indoor Kid/Toddler Play Zone,TV - 11/27/2024,,restaurant concept,,,150,Private Company,"Giggles N Hugs is a unique restaurant concept that brings together high-end, organic food with the play elements and entertainment for children",,Connecticut,Manchester,<$5,www.gigglesnhugs.com,53,150,-,Mixed,-,"Private Events, Birthday Parties",,Connecticut,Outdoor,
76,Go Play,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Go Play is an indoor playground located in East Greenwich, Rhode Island. It offers a safe and fun environment for children aged 2-12 years to play and explore. The facility features custom-made soft play equipment, including slides, climbing structures, ball pits, and a dedicated area for younger children","Go play , sensor play , family game night",Rhode Island,East Greeenwhich,0,https://goplayri.com/,0,1,0,2-12 years,0,"Go play , sensor play , family game night",,Rhode Island,Indoor/ Outdoor,
77,Go Play!,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"o Play! is an indoor playground and party place designed for children aged 6 months to 12 years. The facility features a three-story play structure, a café, and free Wi-Fi for parents. It emphasizes cleanliness, excellent service, and fun, making it a great spot for family outings and birthday parties.","Indoor playground, party rooms, café.",Missouri,Chesterfield,-,https://www.goplaystl.com/,-,1,-,0 - 15 Years,$18 per child,"Indoor playground, party rooms, café.",,Missouri,Indoor,
78,Happy day,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Happy Day is a uniquely thoughtful PLAY, BIRTHDAY PARTY and PRIVATE EVENT space for children and families. Where children can play out infinite stories in a tiny town full of re-imagined play areas: a pet vet, construction site, grocery store, home, ball bit and tumble area for our tiniest of friends. Soak up the sunshine in our dreamy outdoor space too.",,Colorado,Evergreen,0,https://kidshappyday.com/,0,1,0,0-8 years,$10 - $150,"Birthday party events , Playzone",,Colorado,Indoor,
79,Happy Feet Planet,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Happy Feet Planet is an indoor playground located in Apex, offering different play areas for kids 12 years old and younger. The facility hosts birthday parties and track-out camps, providing hours of fun and learning in a safe and secure environment.","Indoor playground, track-out camps, birthday parties.",North Carolina,Apex,-,https://happyfeetplanet.com/,-,1,-,Kids belove 12,$13 - $20,"Indoor playground, track-out camps, birthday parties.",,North Carolina,-,
80,Happy Hoppers Bounce House,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,Indoor play ground with bounce houses,,Alaska,Wasilla,-,https://www.happyhoppersbouncehouse.com/,-,1,-,upto 4 years,$15 / hopper,Bounce Houses and obstacles,,Alaska,Indoor,
81,Happy Times Play Cafe,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Happy Times Play Cafe is a unique play space that caters to both children and their parents. The facility features a large play area for kids and a posh parent lounge equipped with charging stations, comfy chairs, and café tables. It offers a relaxing environment for parents while their children play and explore.","Play space, café",Mississippi,Brandon,-,https://www.thehappytimes.net/,-,1,-,-,,"Play space, café",,Mississippi,-,
82,HippoHop,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Located in Brookhaven, HippoHopp offers rock climbing walls, bounce houses, and a toddler-only play area.","Rock climbing , bounce houses toddler play area",Georgia,Brookhaven,<$5 million,https://hippohopp.com/,<25 employees,1,0,0,$16-$90,"Rock climbing , bounce houses toddler play area",,Georgia,Indoor,
83,Its Play Time,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor playground that provides two story soft playscape, interactive tiny town, and redemption games",,Connecticut,Avon,-,https://www.itsplaytimeavon.com/,-,1,-,Upto 10 years,$10.95 - $16.95 / child,"Soft Playscape, Interactive Tiny Town, and Redemption Games",,Connecticut,Indoor,
84,Jabbers play,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Jabbers , A parent-supervised space for families to gather, play, and find community.","café , parties and field trips , events",Idaho,Nampa,<$5 million,https://www.jabbersplay.com/,<25 employees,1,0,Kids and adults,$7 - $14,"café , parties and field trips , events",Yes,Idaho,Indoor,
85,Jam Time,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,4,Private Company,"We offer a variety of fun, stimulating + creative classes that nourish your child’s social and physical skills while providing hands-on playtime for children and caregivers","Play, classes, parties",Massachusetts,Maynard,<$5,jam time Boston's premiere indoor playground and enrichment center,<25,4,-,-,Passes ranges from $150-$225,"Play, classes, parties",,Massachusetts,-,
86,Jolly Yolly Kids Bethesda,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,2,Private Company,"Jolly Yolly Kids is a private indoor play and learning center for children aged 13 and under. The facility spans approximately 8,500 square feet and includes a multilevel premium indoor play structure, tot lots for children aged 2 to 7, a baby area for children aged 2 and under, and party rooms. They offer open play sessions, birthday parties, and special events, aiming to create a bright, safe, clean, fun, and friendly environment",,Maryland,Bethesda,<5.0,https://www.jollyyollykids.com/,-,-,-,Upto 13 years,$12.95 - $18.95,"Open Play, Birthday Parties, special Events",,Bethesda,Indoor,
87,Jordan's Corner,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor play space intentionally designed to encourage multiple types of open-ended, inclusive play for children ages six and younger",,Arizona,Scottsdale,-,https://www.jordanscorneraz.com/about-jordan-s-corner,-,1,-,Upto 6 years,"$25 / 1.5 hr
Membership - $129 - $200","Play Area, Toy Room, Class Room",Yes,Arizona,Indoor,
88,Judson mill play café,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Judson Mill Play Cafe is an indoor playground located in Greenville, South Carolina. It's designed to provide a fun and safe environment for children to play while offering a cozy coffee shop for parents to relax","Indoor play area , coffee shop , sensor play",South Carolina,Greenville,0,https://www.playcafeofsc.com/,0,1,0,0,0,"Indoor play area , coffee shop , sensor play",,South Carolina,Indoor,
89,Jump On In,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,2,Private Company,Indoor facility featuring great interactive inflatable structures,,Connecticut,Newingtom,<$5,https://jumponinfun.com/about-us/,14,2,NA,-,-,"Trampoline, Jump Court, Ball Pool",,Connecticut,Indoor,
90,Jump Zone,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Jump!Zone Party and Play Center which features massive, themed inflatable slides, obstacle courses and bounce houses kids love, interactive games, toddler activities",Kid's Playhouse,Oklahoma,Oklahoma City,-,https://www.jumpzoneparty.com/JumpZone_Home.php?jzpcity=Oklahoma+City&jzpid=015,0,1,0,1-8 years,0,"Party rooms , kid club house",,Oklahoma,Indoor,
91,Jumpin Junction Family Fun Center,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor amusement park with arcade, mini golf, inflatables and VR Gaming",,Alaska,Soldotna,-,http://www.jumpinjunctionak.com/,-,1,-,-,-,"Inflatables, VR Gaming, Mini Golf, Arcade",,Alaska,Indoor,
92,Jungle playland,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Jungle Playland is a super fun indoor play center in Washington State, with a roaring jungle theme to boot! Here kids can enjoy active play across a number of fun activities, including a huge multi level jungle themed adventure play frame! It's here they can enjoy time playing in features like the tropical rain ball pit, or they can scale new heights with the kiddie sized rock climbing wall.","Tropic rain ball pit , rock climbing wall , tropic rain ball pit",Washington,Mount Vernon,0,https://www.familydaysout.com/attractions-usa/jungle-playland,0,1,0,2 years - 12 years,$5-$9 per child,"Tropic rain ball pit , rock climbing wall , tropic rain ball pit",,Washington,Indoor,
93,Just Play,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,1,Private Company,"Just Play Indoor Playground is a private indoor play space located in Oakhurst, New Jersey. Designed for children up to 7 years old, it offers a safe and engaging environment with a variety of activities, including open play sessions, birthday parties, and private events. The facility features carefully chosen toys and play structures to stimulate children's imagination and creativity",,New Jersey,Oakhurst,-,https://justplaynj.com/,-,No,NA,Upto 7 years,17.5,"Open Play, Private Events, Birthday parties",,Oakhurst,Indoor,
94,Kangamoo Indoor Playground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Kangamoo Indoor Playground is an adult-supervised children’s play center with an attached café and parents’ lounge. The facility offers a variety of attractions including a soft-play jungle gym, slides, ball pits, a basketball arena, and a separate toddler area. It also features iPad game nooks and arcade areas. Kangamoo provides a comfortable and engaging environment for both kids and parents, making it a great spot for family fun and birthday parties.","slides, ball pits, basketball arena, toddler area, iPad game nook",Nevada,Las Vegas,-,https://kangamooplay.com/,11 to 50,1,-,1 - 10 Years,$14 per child (ages 1-10),"slides, ball pits, basketball arena, toddler area, iPad game nook",,Nevada,Indoor,
95,Keiki Kingdom,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Located in Honolulu, this indoor playground offers a multi-level play structure, separate areas for younger children, party rooms, slides, climbing walls, ball pits, sandboxes,","Slides , climbing walls , parety rooms",Hawaaii,Honolulu,<$5 million,https://www.keikikingdom.com/,<25 employees,1,0,1 > years,$5-$200,"Slides , climbing walls , parety rooms",Yes,Hawaii,Indoor,
96,Kid Clubhouse,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,2,Private Company,Kid Clubhouse is an indoor playground for kids (age 12 & under) designed with parents in mind!,playground,Ohio,Springboro,<$5 million,https://kidclubhouse.com/,0,2,0,3-12 years,$12-13,"Party rooms , kid club house",,Ohio,Indoor/ Outdoor,
97,Kid zone,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Kid Zone is Anderson County's first and ONLY Indoor Playground, located in Powell, TN. At Kid Zone Indoor Playground Powell TN, we create our own sunshine by providing an enjoyable and safe place for children ages 0 to 12.","Slides , playground , café",Tennessee,Powell,<$5 million,https://www.kidzonepowell.com/,0,1,0,0 to 12 years,$10 - $12 per child,"Slides , playground , café",,Tennessee,indoor,
98,Kidmania,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,2,Private Company,"Kidmania is the fastest growing and most impressive family fun center in Texas. They have 2 locations in North Texas for playdates, birthday parties, groups, and fundraisers! It’s pure fun for the entire family – safe, secure, and open every day. Come visit us, book your party or event, and check our calendars for daily specials in Plano and Fort Worth.","Daily play , birthday parties , bungee walls , slides",Texas,"Plano , fortworth",0,https://www.kidmania.com/,11 to 50,2,0,1 > years,$1 - $19,"Daily play , birthday parties , bungee walls , slides",yes,Texas,Indoor,
99,Kids at play,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,Kids at play is an inclusive space with activities and designated areas for children of all developmental stages.,"virtual playground , toddler area , ball pits",Pennsylvania,Philadelphia,0,https://www.kidsatplaypa.com/about/,0,1,0,0-12 years,$5 - $15 PP,"Sensory room , Buoy swing , Safe archery , Swings",,Pennsylvania,Indoor,
100,Kids City,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,2,Private Company,"Kids City Hawaii, where fun awaits kids and peace of mind for parents. Our luxurious, hygienic, and secure indoor playgrounds are located in Honolulu and Kapolei.","Zip line , Tube slide,Zip line , Play area",Hawaii,Kapolei,<$5 million,https://www.kidscityhawaii.com/,<25 employees,2,0,0,$5- $17,"Zip line , Tube slide,Zip line , Play area",Yes,Hawaii,Indoor,
101,Kids Corner,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Kids Corner of Murfreesboro is an inclusive indoor play space located in Murfreesboro, Tennessee. It caters to children aged 0-6 years and offers a variety of activities designed to promote physical activity, social interaction, and imaginative play","Indoor play area , birthday parties,Parent lounge",Tennessee,Murfreesboro,$5.1 million,https://www.kidscornermurfreesboro.com/,0,1,0,0 to 6 years,$450 - $850,"physical activity, social interaction, and imaginative play",,Tennessee,Indoor,
102,Kid's Galaxy Indoor Playground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Kid’s Galaxy was created with kids and families in mind, they have a Huge, soft-play indoor playground as well as a Large Toddler’s Zone, that is separate for the little ones.  Toddler’s Zone is one-of-a-kind with Giant Building Blocks and a mini version of our Big Kid indoor playground - with slides, ball pit, and more!","Kid's Playhouse , Trampoline park , café",Oklahoma,Oklahoma City,<$5 million,https://www.kidsgalaxyedmond.com/,0,1,0,1 to 18 years,$45-$295,"Kid's Playhouse , Trampoline park , café",,Oklahoma,Indoor,
103,Kids Ground,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,1,Private Company,"The Kids Ground is a private indoor play space located in Rockville, Maryland. It offers a safe and engaging environment for infants, toddlers, and young children, featuring a variety of play structures and activities. The facility provides open play sessions, birthday party packages, and special events, aiming to create a fun and interactive experience for children and their families",,Maryland,Rockville,<5.0,https://thekidsgroundmd.com/,-,No,NA,Kids,$200 - $800 (parties),"Open Play, Birthday Parties, special Events",,Rockville,Indoor,
104,Kids Palace,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,1,-,-,-,-,-,-,https://www.instagram.com/kids_palace_southshore/,-,-,-,-,-,-,-,-,-,
105,Kids planet,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Kid’s Planet offers young families in Brownsburg, Indiana and the surrounding areas a quality family recreation center with jungle gyms, soft contained, multi-level playground, birthday party hosting, and lots of funny arcade games.","Arcade games , playground , great concession",Indiana,Brownsburg,<$5 million,https://kidsplanetfun.com/,27,1,0,0,$10 - $40,"Arcade games , playground , great concession",,Indiana,Indoor,
106,Kids play and café,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"At Kids Play & Cafe, we purposefully designed the space to offer parents constant peace of mind. We aimed to enable parents to work on their computers while actively monitoring their child.","Café , slides , rock climbing",South Carolina,Easley,0,https://kidsplayandcafe.com/about-kids-play/,0,1,0,0,$120 - $150,"Indoor play structure , Café , Fun in tiny town",,South Carolina,Indoor,
107,Kids Play Gallery,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,1,Private Company,"Kids Play Gallery is a private indoor imaginative play space located in Gaithersburg, Maryland. It offers a fun, friendly, and safe environment with custom play homes designed for creative exploration. The facility provides various activities, including daily open play sessions, birthday parties, and group events. Their goal is to create a community village where children can play, laugh, learn, and grow",,Maryland,Gaithersburg,<5.0,https://www.kidsplaygallery.com/,-,No,NA,Kids and Children,$18.0 - $20.0,"Open Play, Birthday Parties, Private Events",,Gaithersburg,Indoor,
108,Kids Plays,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Kids Plays is Omaha's most family-friendly entertainment center for children. The facility prioritizes fun and safety, offering a variety of inflatables, mini golf, and arcade games. It provides an affordable and enjoyable atmosphere for families from all backgrounds, making it a popular destination for birthday parties and family outings.","Mini golf, arcade games.",Nebraska,Omaha,-,https://kidsplaysomaha.com/,-,1,-,Kids 13 and below,$15 Child day pass,"Mini golf, arcade games.",,Nebraska,-,
109,Kid's World indoor play arena,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"this two-story indoor play arena includes climbing obstacle courses, slides, swings, ball pits, and more.","Slides , swings , ball pits",Lousianne,Acadianna,0,https://www.kidsworldlafayette.com/,0,1,0,0,$5 - $17,"Slides , swings , ball pits",Yes,Lousianne,Indoor,
110,KidStream,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"kidSTREAM provides an engaging environment where kids explore, play, and discover. Our vision is to inspire and empower kids to become critical thinkers, innovators, and life-long learners.",Children's Museum and STEM,California,Camarillo,<$5,https://www.kidstream.org/,<25,1,-,Mixed,-,"Open Play, Birthday Party",,California,-,
111,Kidville,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,China,2,Private Company,"Kidville offers a variety of activities for children, including a supervised indoor gym, weekly classes in dance, arts, and science, as well as a boutique and café. The facility provides a pampered playtime experience for kids and a convenient and enjoyable environment for parents.","Supervised indoor gym, weekly classes (dance, arts, science), boutique",New York,New York,11.2,https://kidville.com/,44,,-,Kids 6 months & up,,"Supervised indoor gym, weekly classes (dance, arts, science), boutique",,New York,-,
112,Kidz Klubhouse,1. Indoor Kid/Toddler Play Zone,TV - 12/09/2024,,,,,1,Private Company,"Kidz Klubhouse is an indoor playground that offers a safe and fun environment for children to play and explore. The facility features a variety of play structures, slides, and interactive games designed to promote physical activity and imaginative play. Kidz Klubhouse also hosts birthday parties and special events, providing a memorable experience for children and families.","Indoor playground, birthday parties, special events, Educational learnings",Mississippi,Gulfport,<$5,https://www.kidzklubhouse.com/,<25,1,-,6 weeks to 9 years,-,"Indoor playground, birthday parties, special events, Educational learnings",-,Gulfport,Indoor,
113,Kidz Party Place,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,1,Private Company,"Kidz Party Place is a private children's event venue located in Old Bridge, New Jersey. It offers a safe and fun environment for children under six years old to enjoy various activities. The facility provides open play sessions, birthday party packages, and special events. Known for its clean and organized space, Kidz Party Place ensures a delightful experience for both children and parents",,New Jersey,Old Bridge,-,https://www.kidzpartyplace.com/,-,No,NA,Upto 12 years,15,"Open Play, Private Events, Birthday parties",,Old Bridge,Indoor,
114,Kinderland Indoor Play and Cafe,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Kinderland Indoor Play and Cafe is a family business built to provide a safe, fun, and interactive space for both children and their parents. The facility features a large, soft play jungle gym with slides and ball pits, making it perfect for kids up to 6 years old. Parents can relax and enjoy a cup of coffee while their little ones play in a secure environment.","oft play jungle gym, slides, ball pits, café.",Nevada,Las Vegas,<$5,https://kinderlandcafe.com/,<25,1,-,-,$8 to $16,"oft play jungle gym, slides, ball pits, café.",,Nevada,Indoor,
115,Kowabunga Indoor play space,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Kowabunga Indoor Playspace is an indoor playground located in Portland, Oregon. It's designed specifically for babies and toddlers, offering a safe and fun environment for young children to play and explore","motor skills , kids play area, fun environment",Oregon,Portland,<$5 million,https://www.kowabungapdx.com/home,0,1,0,0,<$13 per child,indoor games,yes,Oregons,Indoor,
116,Lef Climbing,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"LEF Climbing is a premier indoor rock climbing facility located in Lexington, Kentucky","Climbing areas , Custom events",Kentucky,Lexington,<$5 million,https://www.lefclimbing.com/,<25,1,0,0,$30 pp,"Climbing areas , Custom events",yes,Kentucky,Indoor,
117,Leka Play Land,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"LEKA is a beautiful, modern indoor playground for kids 0-5, designed with kids and parents alike in mind. Located in Tigard, Oregon.",Kids Playground,Oregon,Tigard,0,https://www.lekaplayland.com/home,2 to 10,1,0,0 to 5 years,0,"indoor playground, toys",,Oregons,Indoor,
118,Lets Imagine,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor playground with ball pool, obstacles and play area",,Arkansas,Bentonville,-,https://www.letsimagineplayground.com/,6,1,-,6 months to 13 years,"$8 - $9 / 2 hrs
Membership - $35 - $90","Obstacles, Ball Pool, Play Area",Yes,Arkansas,Indoor,
119,Little bug play hub,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Little Bug Play Hub has endless fun, unforgettable birthdays, & countless moments of laughter.From our soft play, toddler only area for the youngest players to our large wooden play structure for the older kids, they have something for everyone.",,Oregon,Redmond,0,https://www.littlebugplayhub.com/,2 to 10,1,0,0,$2-$15 per child,"soft play, toddler only area ,  large wooden play structure",,Oregons,Indoor,
120,Little Doodles Play Cafe,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Little Doodles Play Cafe is an indoor play cafe designed for kids and their grown-ups. The facility offers a variety of play areas, an art studio, and a café. It provides a safe and creative environment where children can explore and engage in imaginative play while parents relax and enjoy a cup of coffee.","Indoor play areas, art studio, café.",North Carolina,Raleigh,-,https://littledoodlesplaycafe.com/,2 to 10,1,-,-,$35/child Montly,"Indoor play areas, art studio, café.",,North Carolina,-,
121,Little Dreamers Playcafe,1. Indoor Kid/Toddler Play Zone,TV - 11/20/2024,,,,,1,Private Company,"Little Dreamers Play Cafe is a private indoor play space located in Wall Township, New Jersey. It provides a safe, clean, and interactive environment for children ages 0-5 years to play and explore. The facility offers a variety of activities, including open play sessions, enrichment classes, and special events. Parents can relax while their children engage in fun and educational activities designed to stimulate their imagination and creativity",,New Jersey,Wall Township,-,https://www.littledreamersplaycafe.com/,-,No,NA,Upto 5 years,12,"Open Play, Private Events, Birthday parties, Enrichment classes",,Wall Township,Indoor,
122,Lost island,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Lost Island Adventure Park is a family-friendly indoor and outdoor fun center located in Colorado Springs, Colorado","Mini Golf , Outdoor inflatables , indoor playground",Colorado,Colorado springs,<$5 million,https://lostislandminigolf.com/,0,1,0,0,$7-$13,"Mini Golf , Outdoor inflatables , indoor playground",,Colorado,Indoor/ outdoor,
123,Magic Ground,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"This indoor playground offers a casual restaurant, coffee lounge, toddler play area, arts and crafts, and educational computer games.","Toddler play area , arts and crafts , educational computer games",District of Columbia,Columbia Heights,<$5 million,https://magicground.com/mg/,<25 employees,1,0,0,$5-$19,"Toddler play area , arts and crafts , educational computer games",Yes,District of Columbia,Indoor,
124,Makutu's Island,1. Indoor Kid/Toddler Play Zone,TV - 12/03/2024,,,,,1,Private Company,"Indoor playground with tunnels, slides, arcade and a pizzeria",,Arizona,Chandler,<$5,https://makutusisland.com/,14,1,-,-,"$21.9 / child
membership - $175","Slides, Tunnels, Arcade, Mole Holes, Climbs, Totem Poles",Yes,Arizona,Indoor,
